text,label
"কাজের জায়গা হোক বা ঘরের দায়িত্ব, মেয়েরা কঠোর পরিশ্রম করতে পারে এবং বহু দায়িত্ব পালন করতে সক্ষম",positive
"মেয়েরা সাধারণত একাধিক কাজ একসঙ্গে পরিচালনা করতে পারে, যেমন কাজের সাথে ঘরের দায়িত্ব পালন করা",positive
"আধুনিক সমাজে মেয়েরা শিক্ষিত হচ্ছে এবং স্বাধীনভাবে নিজেদের পেশা ও জীবনধারা বেছে নিচ্ছে, যা তাদের আত্মনির্ভরশীল করে তুলেছে",positive
"অনেক সময় মেয়েরা মানসিকভাবে দৃঢ় থাকে এবং কঠিন পরিস্থিতিতে ধৈর্য ও সাহস নিয়ে মোকাবিলা করতে পারে",positive
"আমি ভার্সিটি যাবনা",negative
"আমি পড়াশোনা করি না",negative
"আমি অনেক রাগী",negative
"সমাজ মানুষকে একত্রিত করে এবং সহযোগিতার পরিবেশ তৈরি করে। একে অপরের সাথে মিলেমিশে কাজ করা, সাহায্য করা এবং সমর্থন দেওয়া সমাজের একটি গুরুত্বপূর্ণ গুণ",positive
"সমাজের মাধ্যমেই মানুষ শিক্ষা, সংস্কৃতি, এবং প্রযুক্তির অগ্রগতির অংশীদার হতে পারে। এটি ব্যক্তিগত ও সামষ্টিক উন্নয়নে সহায়তা করে",positive
"সঠিকভাবে গঠিত সমাজ আইন, শৃঙ্খলা এবং ন্যায়বিচার প্রতিষ্ঠা করতে পারে, যা মানুষকে সুরক্ষা ও নিরাপত্তা প্রদান করে",positive
"সমাজ বিভিন্ন সংস্কৃতি, রীতি-নীতি, এবং ঐতিহ্যের ধারক। এটি ঐক্যবদ্ধ করে এবং লোকসংস্কৃতি ও ইতিহাসকে সংরক্ষণ করতে সহায়তা করে",positive
"সমাজ মানুষের মধ্যে সম্পর্ক তৈরি করতে সাহায্য করে। পরিবার, বন্ধুবান্ধব, এবং সম্প্রদায়ের মাধ্যমে মানুষ তার সামাজিক পরিচয় ও মানসিক সমর্থন পায়",positive
"অনেক সমাজে ধনী-দরিদ্রের বৈষম্য, জাতিগত বা লিঙ্গভিত্তিক অসাম্য প্রচলিত, যা সমাজের উন্নয়নে বড় বাধা হতে পারে",negative
"সমাজে নতুন ধ্যান-ধারণা বা পরিবর্তনের বিরুদ্ধে প্রতিরোধের মানসিকতা থাকতে পারে, যা অগ্রগতিকে বাধাগ্রস্ত করে",negative
"কিছু সমাজে কুসংস্কার এবং অন্ধবিশ্বাসের প্রচলন রয়েছে, যা মানুষের মুক্ত চিন্তা এবং যুক্তিবাদী আচরণকে সীমিত করে",negative
"অনেক সময় সমাজে বিভিন্ন ধরণের অপরাধ এবং সহিংসতা দেখা যায়, যা মানুষের জীবনে অশান্তি ও অনিরাপত্তা সৃষ্টি করে",negative
"সমাজে কখনও কখনও গোষ্ঠীবাদ বা প্রভাবশালী গোষ্ঠীর চাপ থাকে, যা ব্যক্তির স্বাধীন মত প্রকাশ ও স্বাধীনতার ক্ষেত্রে বাধা সৃষ্টি করতে পারে",negative
"শিক্ষকরা জ্ঞান বিতরণ করেন এবং শিক্ষার্থীদের জীবনের গুরুত্বপূর্ণ বিষয়ে শিক্ষা দেন। তারা সমাজের বুদ্ধিবৃত্তিক উন্নয়নে গুরুত্বপূর্ণ ভূমিকা পালন করেন",positive
"অনেক শিক্ষক শিক্ষার্থীদের অনুপ্রেরণা দেন, তাদের মধ্যে সৃজনশীলতা ও কৌতূহল জাগিয়ে তোলেন এবং জীবনে সফল হতে সহায়তা করেন",positive
"শিক্ষকেরা কেবল পাঠ্যবইয়ের শিক্ষা নয়, নৈতিক ও সামাজিক শিক্ষা প্রদানেও গুরুত্বপূর্ণ ভূমিকা রাখেন, যা শিক্ষার্থীদের মানবিক গুণাবলী বিকাশে সহায়তা করে",positive
"শিক্ষকরা শিক্ষার্থীদের জীবনের বিভিন্ন সময়ে দিকনির্দেশনা দিয়ে সহায়তা করেন, যাতে তারা সঠিক পথ নির্বাচন করতে পারে",positive
"একজন ভালো শিক্ষক সাধারণত ধৈর্যশীল ও সহানুভূতিশীল হন। তারা শিক্ষার্থীদের সমস্যা বুঝতে এবং সমাধান করতে ধৈর্যের সাথে সহায়তা করেন",positive
"কিছু শিক্ষক কখনও কখনও কঠোর বা রুক্ষ হতে পারেন, যা শিক্ষার্থীদের মানসিকভাবে আঘাত করতে পারে। কঠোর শাসনের ফলে শিক্ষার্থীদের মাঝে ভয় বা অসন্তুষ্টি তৈরি হতে পারে।",negative
"অনেক সময় শিক্ষকদের বিরুদ্ধে পক্ষপাতিত্বের অভিযোগ করা হয়। কিছু শিক্ষার্থী মনে করে যে শিক্ষকরা কিছু নির্দিষ্ট শিক্ষার্থীর প্রতি বেশি মনোযোগ দেন বা তাদের পছন্দ করেন",negative
"কিছু শিক্ষক পড়ানোর ক্ষেত্রে সৃজনশীলতার অভাব দেখান, ফলে শিক্ষার্থীরা ক্লাসে আগ্রহ হারায় এবং পড়াশোনায় উদাসীন হয়ে যায়",negative
"কিছু শিক্ষক শুধুমাত্র পাঠ্যক্রম বা রুটিন অনুযায়ী পড়ানোর দিকে বেশি মনোযোগ দেন, যা শিক্ষার্থীদের চিন্তা করার বা সৃজনশীল হতে বাধা দেয়",negative
"কিছু ক্ষেত্রে শিক্ষকদের সাথে শিক্ষার্থীদের মধ্যে যোগাযোগের অভাব দেখা যায়। শিক্ষার্থীরা তাদের সমস্যাগুলো শিক্ষকের সাথে শেয়ার করতে সংকোচ বোধ করতে পারে",negative
"অনেকেই মনে করেন বিবাহের পর ব্যক্তিগত স্বাধীনতা কমে যায় এবং জীবনে অনেক সীমাবদ্ধতা আসে",negative
"বিবাহের মাধ্যমে অনেক নতুন দায়িত্ব আসে, যা অনেকের জন্য চাপ হয়ে দাঁড়াতে পারে",negative
"বিবাহিত জীবনে মতবিরোধ ও কলহ হতে পারে, যা মানসিক চাপ সৃষ্টি করতে পারে",negative
"বিবাহের পর পরিবারের চাহিদা পূরণ করতে আর্থিকভাবে অনেক বেশি চাপ অনুভূত হতে পারে",negative
" অনেক ক্ষেত্রে বিবাহিত জীবনসঙ্গীর সাথে আবেগের সঠিক সম্পর্ক না গড়ে উঠলে, একাকিত্ব ও হতাশা তৈরি হতে পারে",negative
"বিবাহের মাধ্যমে মানুষ একজন স্থায়ী সঙ্গী পায়, যার সঙ্গে জীবনের সুখ-দুঃখ ভাগ করে নেওয়া যায়",positive
"বিবাহ সমাজ এবং পরিবারের জন্য স্থিতিশীলতা নিয়ে আসে, এবং এতে পরিবার গঠন সহজ হয়",positive
"বিবাহিত জীবনসঙ্গী একজন অন্যজনকে আর্থিক এবং মানসিকভাবে সমর্থন দেয়",positive
"বিবাহ মানুষকে দায়িত্বশীল এবং সমঝোতাপূর্ণ হতে শেখায়",positive
" বিবাহ পরিবারে নতুন সদস্যদের আগমন ঘটায়, যা পরিবার ও বংশকে টিকিয়ে রাখে",positive
"বইয়ের প্রতি অতিরিক্ত আসক্তি বাস্তব জীবন থেকে বিচ্ছিন্ন করতে পারে",negative
"কিছু বইয়ের বিষয়বস্তু বিভ্রান্তিকর হতে পারে",negative
"অনেক বইয়ে ভুল তথ্য থাকতে পারে",negative
"অতিরিক্ত বই পড়া চোখের ক্ষতি করতে পারে",negative
"বইয়ের অতিরিক্ত ভালোবাসা সামাজিক সম্পর্ককে ক্ষতিগ্রস্ত করতে পারে",negative
"বইয়ের প্রতি মাত্রাতিরিক্ত নির্ভরশীলতা আত্মবিশ্বাস কমাতে পারে",negative
"কিছু বই মানসিক চাপ বৃদ্ধি করতে পারে",negative
"ভুল বই পড়া মনের বিকাশে বাধা হতে পারে",negative
"বই পড়া সময়ের অপচয় হতে পারে যদি তা সঠিকভাবে প্রয়োগ না হয়",negative
"অতিরিক্ত বই পড়া শারীরিক নিষ্ক্রিয়তা বাড়ায়",negative
"বইয়ের কিছু বিষয় আপত্তিকর বা অশ্লীল হতে পারে",negative
"কিছু বইয়ের মাধ্যমে ইতিহাস বিকৃত করা হয়",negative
"বইয়ের অতিরিক্ত ব্যবহার পারিবারিক জীবনকে প্রভাবিত করতে পারে",negative
"কিছু বই মনস্তাত্ত্বিক সমস্যার কারণ হতে পারে",negative
"বই পড়া মাঝে মাঝে কাজ থেকে বিভ্রান্ত করতে পারে",negative
"অতিরিক্ত বই পড়া মানসিক ভারসাম্য হারাতে পারে",negative
"বইয়ে প্রাপ্ত তথ্য সবসময় বাস্তব জীবনে কাজে লাগানো যায় না",negative
"বই কেনা ব্যয়বহুল হতে পারে",negative
"বইয়ের মাধ্যমে নেতিবাচক মতবাদ ছড়ানো হতে পারে",negative
"বই পড়ার ফলে মাঝে মাঝে সামাজিক দায়বদ্ধতা উপেক্ষিত হয়",negative
"অনেক বই পড়া হাতে কলমে কাজ করার দক্ষতা কমায়",negative
"বইয়ের ভিন্ন মতবাদ বিভ্রান্তি সৃষ্টি করতে পারে",negative
"ভুল বই পড়ার ফলে ভুল সিদ্ধান্ত নেয়া হতে পারে",negative
"কিছু বই সময়ের অপচয় হতে পারে",negative
"বইয়ের প্রতি অতিরিক্ত নির্ভরশীলতা চিন্তাশক্তিকে সীমাবদ্ধ করতে পারে",negative
"কিছু বই মানসিক অশান্তি সৃষ্টি করতে পারে",negative
"বইয়ের অতিরিক্ত প্রেম শারীরিক ব্যায়ামের অভাব ঘটাতে পারে",negative
"কিছু বই মনের বিকৃত ধারণা তৈরি করতে পারে",negative
"বইয়ের ভুল তথ্য সামাজিক ক্ষতি করতে পারে",negative
"কিছু বই নির্দিষ্ট সংস্কৃতি বা জাতি সম্পর্কে ভ্রান্ত ধারণা প্রদান করে",negative
"বইয়ের উপর অতিরিক্ত নির্ভরশীলতা ব্যক্তি স্বাধীনতাকে বাধাগ্রস্ত করতে পারে",negative
"বই পড়ার সময় অনেকে বাস্তবিক সমস্যা থেকে দূরে থাকে",negative
"কিছু বই ভুল পথে পরিচালিত করতে পারে",negative
"বইয়ের মাধ্যমে নেতিবাচক রাজনীতির প্রচার হতে পারে",negative
"কিছু বইয়ের লেখক সামাজিক বা ধর্মীয় বিষয়ে বিতর্ক তৈরি করতে পারেন",negative
"বই পড়ার ফলে ব্যক্তিগত জীবনে উদাসীনতা আসতে পারে",negative
"অতিরিক্ত বই পড়া মানসিক চাপ বাড়িয়ে দিতে পারে",negative
"কিছু বই অন্যদের প্রতি ঘৃণা বা সহিংসতার ধারণা দিতে পারে",negative
"বইয়ের কিছু বিষয়বস্তু আবেগপ্রবণ করে তুলতে পারে",negative
"বইয়ের কিছু মতবাদ সংকীর্ণ দৃষ্টিভঙ্গি তৈরি করে",negative
"কিছু বই মিথ্যা ও কল্পিত ধারণা প্রচার করে",negative
"বইয়ের মাধ্যমে কিছু লোক অপ্রয়োজনীয় বা ক্ষতিকর তথ্য পেতে পারে",negative
"বই পড়ার সময় বাস্তবতা উপেক্ষিত হতে পারে",negative
"বইয়ের কিছু তথ্য সাধারণ মানুষের জন্য বোঝা কঠিন হতে পারে",negative
"ভুল বই পড়লে নিজেকে কম গুরুত্বপূর্ণ মনে হতে পারে",negative
"বইয়ের অতিরিক্ত প্রতি আসক্তি পারিবারিক ও সামাজিক জীবনে সমস্যা সৃষ্টি করতে পারে",negative
"বইয়ের অধিক মূল্য সাধারণ মানুষের জন্য একটি প্রতিবন্ধক হতে পারে",negative
"বই পড়া সামাজিক যোগাযোগকে ক্ষতিগ্রস্ত করতে পারে",negative
"কিছু বই প্রযুক্তিগত বা আধুনিক জ্ঞান থেকে দূরে রাখে",negative
"বইয়ের অতিরিক্ত প্রেম শারীরিক সুস্থতায় বাধা হতে পারে",negative
"বই জ্ঞানের উৎস",positive
"বই জ্ঞানের ভাণ্ডার",positive
"বই মানুষের কল্পনাশক্তি বৃদ্ধি করে",positive
"বই মনোযোগ এবং একাগ্রতা বাড়ায়",positive
"বই আত্ম-উন্নয়নে সহায়ক",positive
"বই আমাদের মনকে শান্ত করে",positive
"বই মানসিক চাপ কমাতে সহায়তা করে",positive
"বই ইতিহাসের শিক্ষা দেয়",positive
"বই আমাদের বৈজ্ঞানিক এবং তাত্ত্বিক জ্ঞান উন্নত করে",positive
"বই সংস্কৃতি ও ঐতিহ্য সম্পর্কে শিক্ষা দেয়",positive
"বই নতুন ধারণা এবং উদ্ভাবন প্রেরণা দেয়",positive
"বই ভাষার দক্ষতা বাড়ায়",positive
"বই সৃজনশীলতা বিকাশে সহায়তা করে",positive
"বই সামাজিক মূল্যবোধ শেখায়",positive
"বই জীবনের অর্থ খুঁজতে সাহায্য করে",positive
"বই আমাদের চিন্তা করার ক্ষমতা উন্নত করে",positive
"বই বাস্তবতা এবং কল্পনার মধ্যে ভারসাম্য রক্ষা করে",positive
"বই অভিজ্ঞতা বৃদ্ধি করে",positive
"বই বিভিন্ন সমস্যা সমাধানের উপায় শেখায়",positive
"বই আমাদের অন্তর্দৃষ্টি জাগিয়ে তোলে",positive
"বই আমাদের আত্মবিশ্বাস বাড়ায়",positive
"বই জ্ঞানের গভীরতা বাড়ায়",positive
"বই নতুন দৃষ্টিভঙ্গি প্রদান করে",positive
"বই পড়া সামাজিক পরিবর্তনে সহায়ক",positive
"বই মানুষের নৈতিক শিক্ষা দেয়",positive
"বই মুক্তচিন্তা এবং সমালোচনামূলক চিন্তা বিকাশ করে",positive
"বই আমাদের দৈনন্দিন জীবনকে সহজ করে",positive
"বই আমাদের জীবনের উদ্দেশ্য খুঁজে পেতে সাহায্য করে",positive
"বই পড়া মনোযোগের ক্ষমতা উন্নত করে",positive
"বই পড়া স্মৃতিশক্তি বৃদ্ধিতে সহায়ক",positive
"বই আমাদের মনোজগতকে উদ্দীপিত করে",positive
"বই বিভিন্ন ভাষা শিখতে সহায়তা করে",positive
"বই পড়া নতুন শখের জন্ম দেয়",positive
"বই আত্মবিশ্বাস জাগিয়ে তোলে",positive
"বই বিভিন্ন সংস্কৃতির মানুষদের সম্পর্কে ধারণা দেয়",positive
"বই সামাজিক ও রাজনৈতিক সচেতনতা বাড়ায়",positive
"বই আমাদের গভীর জীবনবোধ শেখায়",positive
"বই দূরবর্তী এবং অনাবিষ্কৃত জগৎ সম্পর্কে জানতে সাহায্য করে",positive
"বই আমাদের নৈতিক আদর্শের বিকাশ ঘটায়",positive
"বই জীবনের বিভিন্ন পর্যায়ে সহায়ক",positive
"বই আমাদের চরিত্র গঠন করে",positive
"বই আমাদের সিদ্ধান্ত গ্রহণের ক্ষমতা বাড়ায়",positive
"বই বিজ্ঞান, প্রযুক্তি এবং উদ্ভাবনের তথ্য সরবরাহ করে",positive
"বই সামাজিক এবং ব্যক্তিগত জীবনে ভারসাম্য আনে",positive
"বই পড়ার মাধ্যমে আমরা নতুন বন্ধু তৈরি করতে পারি",positive
"বই পড়া আত্মার পরিশুদ্ধি ঘটায়",positive
"বই দূরবর্তী স্থান এবং সময়ের কথা জানতে সহায়ক",positive
"বই আত্মবিশ্লেষণের সুযোগ দেয়",positive
"বই বিভিন্ন দৃষ্টিকোণ থেকে সমস্যা দেখতে শেখায়",positive
"বই আমাদের ইচ্ছাশক্তি বাড়ায়",positive
"বই শিক্ষার মূল ভিত্তি",positive
"শেখ হাসিনা বাংলাদেশের রাজনৈতিক ইতিহাসে অন্যতম গুরুত্বপূর্ণ নেতা",positive
"তিনি দীর্ঘ সময় ধরে দেশের নেতৃত্ব দিয়েছেন",positive
"তিনি পদ্মা সেতু নির্মাণের উদ্যোগ নেন, যা দেশের অবকাঠামো উন্নয়নে বড় ভূমিকা রেখেছে",positive
"শেখ হাসিনা নারীর ক্ষমতায়নের পক্ষে কাজ করেছেন",positive
"শেখ হাসিনা বাংলাদেশের ইতিহাস ও সংস্কৃতি সংরক্ষণে কাজ করেছেন",positive
"তিনি বঙ্গবন্ধুর আদর্শ অনুসরণ করে দেশকে পরিচালনা করেছেন",positive
"তার সরকার গ্রামীণ অর্থনীতি শক্তিশালী করার জন্য কাজ করেছে",positive
"জাতিসংঘসহ আন্তর্জাতিক পর্যায়ে বাংলাদেশকে মর্যাদাপূর্ণভাবে উপস্থাপন করেছেন",positive
"তিনি জলবায়ু পরিবর্তন মোকাবিলায় বিশ্বমঞ্চে নেতৃত্ব দিয়েছেন",positive
"শেখ হাসিনা বঙ্গবন্ধু হত্যার বিচার কার্য সম্পন্ন করেছেন",positive
"রোহিঙ্গা সংকট মোকাবিলায় তার ভূমিকা আন্তর্জাতিক মহলে প্রশংসিত হয়েছে",positive
"শেখ হাসিনা গ্রামীণ মহিলাদের আত্মকর্মসংস্থান বৃদ্ধি করতে বিভিন্ন প্রকল্প গ্রহণ করেছেন",positive
"শেখ হাসিনা দারিদ্র্য বিমোচনে গুরুত্বপূর্ণ পদক্ষেপ নিয়েছেন",positive
"তার নেতৃত্বে বাংলাদেশের জিডিপি বৃদ্ধি পেয়েছে",positive
"আন্তর্জাতিক সহযোগিতায় তার উদ্যোগে বাংলাদেশ স্বাস্থ্য খাতে বিশেষ সাফল্য অর্জন করেছে",positive
"তিনি বয়স্ক ও বিধবা ভাতা প্রদানসহ বিভিন্ন সামাজিক নিরাপত্তা কর্মসূচি চালু করেছেন",positive
"তার নেতৃত্বে সামরিক-বেসামরিক সম্পর্ক স্থিতিশীল ছিল",positive
"তার নেতৃত্বে বাংলাদেশে নৌ-বাহিনী ও বিমান-বাহিনী আধুনিকীকরণ হয়েছে",positive
"তিনি সন্ত্রাস ও জঙ্গিবাদ মোকাবিলায় দৃঢ় পদক্ষেপ নিয়েছেন",positive
"শেখ হাসিনা বেসরকারি খাতের উন্নয়নে সহায়তা করেছেন",positive
"তার সরকারের বিরুদ্ধে গণতন্ত্র ক্ষুণ্ণ করার অভিযোগ উঠেছে",negative
"দীর্ঘ সময় ধরে ক্ষমতায় থাকার কারণে সমালোচনা রয়েছে",negative
"বিরোধী দলগুলোকে দমন করার অভিযোগ তার সরকারের বিরুদ্ধে উঠেছে",negative
"তার সরকার মানবাধিকার লঙ্ঘনের অভিযোগে অভিযুক্ত হয়েছে",negative
"বাকস্বাধীনতা সীমিত করার জন্য সমালোচিত হয়েছেন",negative
"বিরোধী দলের ওপর নির্যাতনের অভিযোগ রয়েছে",negative
"তার সরকার বিচার বিভাগের স্বাধীনতায় হস্তক্ষেপ করেছে বলে অভিযোগ রয়েছে",negative
"সাংবাদিকদের উপর দমন-পীড়নের অভিযোগ উঠেছে",negative
"দুর্নীতি দমন কমিশন নিয়ে সমালোচনা রয়েছে",negative
"তার সরকারের আমলে শেয়ার বাজার ধসের অভিযোগ রয়েছে",negative
"বিরোধী দলের নেতাকর্মীদের গ্রেপ্তার নিয়ে সমালোচনা হয়েছে",negative
"র‍্যাব ও পুলিশের ভূমিকা নিয়ে উদ্বেগ প্রকাশ করা হয়েছে",negative
"তার সরকারের আমলে ব্যাংক খাতে দুর্নীতি বেড়েছে বলে অভিযোগ",negative
"তার নেতৃত্বে রাজনৈতিক বিরোধিতা সহ্য করার ক্ষমতা কম বলে সমালোচনা করা হয়েছে",negative
"বিভিন্ন নির্বাচন নিয়ে জালিয়াতির অভিযোগ রয়েছে",negative
"তার সরকার বিচার বিভাগকে নিয়ন্ত্রণ করার অভিযোগে অভিযুক্ত হয়েছে",negative
"সরকারের অদক্ষতা নিয়ে ক্ষোভ রয়েছে",negative
"তার সরকারে স্বজনপ্রীতির অভিযোগ রয়েছে",negative
"শ্রমিক অধিকার লঙ্ঘন নিয়ে আন্তর্জাতিক সমালোচনা হয়েছে",negative
"বিরোধী দলের রাজনৈতিক সমাবেশে বাধা দেওয়ার অভিযোগ রয়েছে",negative
"তার সরকারের সময় সাংবাদিক হত্যা নিয়ে আন্তর্জাতিক উদ্বেগ প্রকাশ করা হয়েছে",negative
"তার সরকারের আমলে শিক্ষাঙ্গনে সংঘর্ষ বেড়েছে",negative
"তিনি রাজনৈতিক প্রতিপক্ষকে নির্যাতন ও নিপীড়নের অভিযোগে অভিযুক্ত",negative
"তার সরকার মুক্তমনা ব্লগারদের ওপর আক্রমণের সঠিক বিচার করতে ব্যর্থ হয়েছে",negative
"রাজনৈতিক মতাদর্শের বিরোধীদের ক্ষেত্রে ন্যায্য বিচারের অভাব রয়েছে",negative
"তার সরকারের আমলে রাজনীতিতে অর্থনৈতিক দুর্নীতি বাড়ার অভিযোগ উঠেছে",negative
"গণমাধ্যমের ওপর নজরদারি বাড়ানোর অভিযোগ রয়েছে",negative
"তার সরকার ধর্মীয় সংখ্যালঘুদের অধিকার রক্ষায় ব্যর্থ হয়েছে বলে সমালোচনা রয়েছে",negative
"সরকারের বিরোধী দলের ওপর অতিরিক্ত বলপ্রয়োগের অভিযোগ উঠেছে",negative
"তার নেতৃত্বে ব্যাংকিং খাত দুর্বল হয়েছে",negative
"বিরোধী দলীয় নেতাদের উপর ভিত্তিহীন মামলা দায়েরের অভিযোগ রয়েছে",negative
"তার সরকারের আমলে সামরিক হস্তক্ষেপ নিয়ে উদ্বেগ রয়েছে",negative
"পরিবেশ সংরক্ষণে তার সরকার যথাযথ ব্যবস্থা নেয়নি বলে অভিযোগ রয়েছে",negative
"তার সরকারের দুর্নীতির কারণে বৈদেশিক বিনিয়োগ বাধাগ্রস্ত হয়েছে",negative
"রোহিঙ্গা সংকট মোকাবিলায় দীর্ঘমেয়াদী পরিকল্পনার অভাব রয়েছে বলে সমালোচনা হয়েছে",negative
"ছাত্রলীগের অপরাধমূলক কর্মকাণ্ড নিয়ে তার সরকারের সমালোচনা হয়েছে",negative
"তার সরকারের নীতিগত সিদ্ধান্তে স্বচ্ছতার অভাব রয়েছে",negative
"বিভিন্ন মেগা প্রকল্পের ব্যয় বৃদ্ধি ও দুর্নীতি নিয়ে উদ্বেগ রয়েছে",negative
"তার সরকারের সময়ে রাজনৈতিক হত্যাকাণ্ড বেড়েছে বলে অভিযোগ উঠেছে",negative
"অনলাইনে বাকস্বাধীনতা সীমিত করার জন্য ডিজিটাল নিরাপত্তা আইন নিয়ে সমালোচনা রয়েছে",negative
"তার সরকার আঞ্চলিক রাজনীতিতে ভারসাম্য রাখতে ব্যর্থ হয়েছে",negative
"বিরোধী দলীয় প্রার্থীদের হয়রানি করার অভিযোগ রয়েছে",negative
"র‍্যাবের কার্যক্রম নিয়ে আন্তর্জাতিক সমালোচনা রয়েছে",negative
"বিরোধী দলের নির্বাচনে অংশগ্রহণে বাধা দেওয়ার অভিযোগ রয়েছে",negative
"দেশের গণতান্ত্রিক প্রতিষ্ঠানের কার্যকারিতা হ্রাস পেয়েছে",negative
"তার সরকারের আমলে স্বাস্থ্যসেবায় অগ্রগতি সত্ত্বেও দুর্নীতির অভিযোগ রয়েছে",negative
"তার নেতৃত্বে আইনের শাসন দুর্বল হয়েছে বলে সমালোচনা রয়েছে",negative
"তার সরকারের সময়ে সরকারি কর্মকর্তাদের ঘুষ ও দুর্নীতির অভিযোগ উঠেছে",negative
"তার সরকার ব্যর্থ শিক্ষানীতি নিয়ে সমালোচিত",negative
"বিরোধী দলের প্রার্থীদের নির্বাচনে অংশগ্রহণে বাধা দেওয়ার অভিযোগ রয়েছে",negative
"বিদ্যুৎ খাতে দুর্নীতি ও অপচয়ের অভিযোগ রয়েছে",negative
"দেশের অনেক এলাকায় এখনো বিদ্যুৎ সরবরাহে ঘাটতি রয়েছে",negative
"বিদ্যুৎ খাতের অনেক প্রকল্প বিলম্বিত হওয়ার অভিযোগ রয়েছে",negative
"লোডশেডিং সমস্যা এখনো পুরোপুরি সমাধান হয়নি",negative
"বিদ্যুৎ উৎপাদনে বেশি খরচ হওয়ায় গ্রাহকদের জন্য বিদ্যুতের দাম বৃদ্ধি পেয়েছে",negative
"বেশিরভাগ বিদ্যুৎ উৎপাদন কেন্দ্রগুলো এখনও কয়লা ও গ্যাসের উপর নির্ভরশীল",negative
"নবায়নযোগ্য শক্তি থেকে উৎপাদন করা বিদ্যুতের পরিমাণ খুবই কম",negative
"বিদ্যুৎ বিতরণ ব্যবস্থায় দুর্বলতা ও অব্যবস্থাপনার অভিযোগ রয়েছে",negative
"বিদ্যুৎ সঞ্চালন লাইনগুলোর অবকাঠামো পুরনো ও অপর্যাপ্ত",negative
"বিদ্যুৎ চুরির কারণে সরকার রাজস্ব হারাচ্ছে",negative
